90,42
92,88
83,39
27,107
25,34
30,112
106,107
59,32
16,106
64,2
124,53
25,47
43,64
64,123
54,51
45,2
52,126
24,64
61,67
54,64
65,78
67,124
61,80
80,93
19,83
32,22
95,78
53,81
68,96
81,35
102,94
16,27
56,99
62,35
48,100
96,33
60,110
16,40
50,38
113,94
84,36
41,110
99,51
57,54
66,116
18,75
75,57
33,60
24,11
65,12
10,76
109,55
101,86
95,12
72,28
75,70
93,87
67,71
86,84
16,82
7,33
83,28
69,93
60,44
25,23
96,88
16,95
90,44
76,109
105,29
69,106
106,109
59,34
36,50
118,119
64,4
124,55
24,53
87,109
18,9
121,107
52,7
54,53
52,128
61,69
19,72
51,24
81,24
61,82
19,85
63,128
72,96
65,93
68,98
62,24
53,96
56,101
71,86
62,37
39,53
124,97
69,53
84,38
96,48
99,53
36,118
52,62
22,75
98,70
52,75
65,14
54,121
67,60
40,78
109,70
68,32
70,78
83,17
62,79
37,22
7,35
48,36
41,33
122,106
96,90
16,97
90,46
29,36
124,44
110,109
30,116
84,93
43,55
76,3
87,98
36,52
84,106
80,71
121,109
52,9
54,55
65,69
98,17
82,9
61,71
80,84
19,74
54,68
31,84
49,74
67,128
61,84
19,87
56,90
49,87
62,26
81,39
60,101
44,93
16,31
53,98
56,103
30,50
122,53
57,45
71,101
43,2
115,107
45,48
38,45
31,5
75,48
52,64
24,2
54,110
33,64
52,77
65,16
58,13
88,13
74,78
93,91
68,34
41,22
60,35
20,84
48,38
41,35
27,100
36,41
16,99
66,41
30,118
87,100
59,38
73,57
31,60
75,103
66,54
58,55
77,68
61,60
114,71
91,124
42,60
80,86
33,11
19,76
95,71
56,79
65,84
21,14
62,15
81,28
60,90
16,20
95,84
53,87
111,28
14,95
46,84
62,28
81,41
102,100
96,26
60,103
44,95
16,33
92,28
69,44
113,87
71,90
122,55
117,98
103,55
115,109
100,107
31,7
36,122
75,50
65,5
89,69
61,7
79,61
61,128
93,80
109,61
68,23
42,7
51,96
81,96
99,86
16,88
30,107
36,43
48,53
18,2
59,40
64,118
77,57
54,46
75,105
52,121
24,59
77,70
61,62
80,75
31,75
72,76
46,60
68,78
70,124
61,75
19,78
63,121
56,81
49,78
44,84
92,17
71,79
62,30
122,44
124,90
16,35
57,36
113,89
84,31
38,36
101,55
75,39
100,109
31,9
75,52
112,119
65,7
77,17
63,55
42,117
33,68
49,12
89,84
62,72
16,77
111,85
69,88
62,85
99,88
16,90
105,24
27,104
25,31
84,86
43,48
97,55
96,96
76,117
94,107
24,48
64,120
80,64
52,2
54,48
75,107
61,64
33,2
114,75
49,67
7,70
81,19
67,121
42,64
61,77
95,75
114,88
53,78
62,19
26,96
96,17
16,24
76,38
50,22
71,81
62,32
76,51
59,84
36,100
113,91
84,33
48,110
57,51
52,57
84,46
45,54
40,60
31,11
72,12
75,54
52,70
65,9
79,65
40,73
100,124
51,87
109,65
68,27
83,12
102,25
60,28
62,74
74,84
16,79
90,28
69,90
27,93
81,100
96,85
99,90
16,92
57,93
76,106
105,26
69,103
84,88
87,93
36,47
57,106
105,39
87,106
64,122
61,53
52,4
112,55
75,109
24,63
65,64
109,107
77,74
19,69
95,64
114,77
56,72
47,23
107,74
46,64
49,69
62,8
7,72
70,128
95,77
72,93
56,85
14,88
49,82
62,21
111,34
84,22
124,94
41,96
96,32
99,37
84,35
79,41
91,51
80,121
31,13
75,56
61,121
52,72
65,11
54,118
61,13
47,78
81,76
90,17
60,30
21,75
62,76
34,14
27,95
30,100
99,92
105,28
27,108
25,35
24,39
59,33
98,109
75,98
24,52
61,55
40,117
72,69
46,53
109,109
42,55
114,79
56,74
49,71
68,84
7,74
26,87
83,69
60,85
51,36
16,15
95,79
56,87
97,88
14,90
71,72
62,23
96,21
60,98
16,28
37,87
78,88
71,85
84,24
103,37
23,44
96,34
76,55
120,98
119,102
75,45
89,64
65,121
82,61
40,64
42,2
83,3
49,126
95,13
93,88
16,70
48,22
69,81
113,124
55,38
16,83
35,96
64,100
36,38
96,89
99,94
118,107
105,30
94,100
59,35
36,51
75,100
66,51
61,57
19,60
51,12
54,54
95,55
102,71
60,74
14,79
109,124
62,12
7,76
41,74
16,17
53,84
56,89
69,28
14,92
62,25
96,23
41,87
99,28
57,31
55,106
112,88
84,26
38,31
110,55
84,39
54,96
108,103
66,106
107,107
40,53
75,47
65,2
86,61
93,77
65,15
49,7
68,20
67,61
53,126
49,128
116,74
16,72
81,93
122,94
36,27
96,78
16,85
69,96
122,107
87,86
36,40
96,91
99,96
50,96
103,107
61,46
75,102
52,118
42,46
19,62
79,113
89,13
125,57
70,121
60,76
16,6
34,60
56,78
49,75
62,14
122,28
96,12
44,81
16,19
37,78
103,28
105,74
96,25
8,33
84,28
119,106
52,52
112,103
54,98
87,46
107,109
40,55
61,114
109,47
72,128
70,55
88,109
79,60
82,65
81,69
56,12
49,9
53,128
60,23
16,74
76,88
30,93
62,82
106,88
36,29
99,85
118,98
16,87
25,28
87,88
96,93
105,34
75,91
126,56
84,96
64,117
80,61
79,102
54,45
12,48
75,104
42,48
61,61
93,13
114,72
28,5
49,64
62,3
7,67
102,75
95,72
34,62
14,83
71,65
62,16
48,81
122,30
41,78
60,91
44,83
57,22
50,19
84,17
105,76
44,96
38,22
76,48
59,81
73,100
36,110
75,38
54,100
77,3
107,111
65,114
63,41
72,9
77,124
75,51
74,55
65,6
86,65
28,60
90,12
67,65
111,71
83,9
60,25
62,71
81,84
23,79
97,28
30,95
20,87
4,79
64,93
105,23
50,87
94,93
30,108
36,44
75,93
33,96
24,47
87,103
61,50
63,96
82,109
72,64
116,107
46,48
61,63
79,117
7,69
83,64
102,77
76,24
34,64
56,82
14,85
62,18
124,78
84,19
